custom_id,season,episode_number,episode_title,air_date,source_notes,has_false_suspect,has_public_exposure,needs_deep_review,summary
lo_s04_e16,4,16,Big Bang,,Transcript appears truncated mid-sentence during final scene with Prof. Munson testimony discussion.,Y,Y,Y,"Florence Manning is killed by a mail bomb. Her estranged husband, physicist Edward Manning, is initially suspected due to divorce proceedings and his new girlfriend. Max Weiss, a struggling physicist, is arrested after bomb materials are found in his lab drawer. Weiss initially claims Manning hired him, but prosecutors discover Weiss had his own motive: Manning stole his scientific theory and sabotaged his grant application. The case reveals Weiss targeted Manning but accidentally killed Manning's estranged wife at their old shared address. Manning is also investigated for scientific theft/larceny but appears to avoid full cooperation to protect his reputation."
lo_s04_e17,4,17,Mayhem,,Transcript appears truncated mid-sentence at end,Y,Y,Y,"Episode involves multiple murders on a single day. Ken Scofield is shot in Battery Park; Drew Washington is killed in a robbery; Scott Hexter becomes primary suspect in Scofield killing based on witness descriptions and parking tickets for tan Chevy in area. Hexter is arrested despite providing alibi (movies) he cannot verify. Evidence shows his car in Forest Park at time of Queens murder AND in Riverdale (hit-and-run) 10 minutes after Battery Park murder - physically impossible. Transcript ends before resolution, but strong implication Hexter may be wrongly accused. Also features Louisa D'Angelo who kills abusive husband (actual perpetrator, not false suspect). No other clearly innocent accused persons identified with sufficient public exposure/harm."
lo_s04_e18,4,18,Wager,,Transcript appears truncated at end; final dialogue cut off mid-sentence,Y,Y,Y,"Benny Williams, business manager and father of baseball star Pat Williams, is beaten to death. Initially, investigators focus on Papa Doc (Henry Doinel), a bookmaker Benny owed money to, and Joey Lang, Papa Doc's enforcer. Papa Doc is arrested and charged with murder. However, evidence emerges that Pat Williams may have lied about his gambling activity and his whereabouts the night of the murder. The transcript ends abruptly during what appears to be a confrontation with Pat about the truth. Papa Doc appears to be innocent or at least wrongly charged based on developing evidence pointing toward Pat."
lo_s04_e19,4,19,Sanctuary,,Episode involves a hit-and-run case (Joshua Berger) and subsequent riot murder (Isaac Roberts). Complex racial tensions and legal maneuvering around both cases.,Y,Y,N,"Joshua Berger, a Jewish businessman, hits and kills 12-year-old Damon Fox in Harlem. Forensic evidence shows he was not speeding (20-25 mph). An eyewitness (Bobby) fabricated testimony claiming Berger was going 50 mph, likely coached by Reverend Ott. Grand jury refuses to indict Berger based on forensic evidence contradicting eyewitness. Berger pleads to leaving the scene. This triggers a riot where Isaac Roberts kills John De Santis (mistaken for Jewish). Roberts is tried for murder but jury deadlocks; DA declines retrial."
lo_s04_e20,4,20,Nurture,,Transcript appears complete through courtroom scenes but cuts off mid-sentence at end.,N,N,N,"A 10-year-old girl, Wendy Sylvester, goes missing from her foster home. Police discover she was taken by Arnette Fenady, a volunteer poetry teacher who had previously been arrested for attempting to kidnap another child. Fenady believes she is rescuing abused children and confuses them with her own dead daughter, Crystal. The case examines the foster care system's failures and Fenady's mental illness. No innocent parties are falsely accused—Fenady is guilty of kidnapping, and the investigation correctly identifies her as the perpetrator. Wendy ultimately lies on the stand to protect Fenady, whom she sees as having saved her from an abusive situation."
lo_s04_e21,4,21,Doubles,,Transcript appears truncated mid-sentence. Final dialogue cuts off during legal discussion about Korey Burke's diary.,Y,Y,Y,"Tennis prodigy Korey Burke is attacked at practice - her wrist broken, ending her season. Initial suspect Alan Lovitz (obsessed fan) is cleared by lineup. Marc Kenner confesses to being hired by rival player Alison Hall for $10k, but recants when his confession is suppressed. Prosecutors then suspect Korey's father Mitchell Burke orchestrated the attack to preserve endorsement money when Korey wanted to quit. Transcript reveals Korey has history of 'accidents' and sees psychiatrist. Final twist suggests Korey may have arranged her own injury to escape her father's pressure. Alison Hall arrested and charged despite weak motive. Transcript ends mid-legal argument about Korey's psychiatric diary as potential exculpatory evidence."
lo_s04_e22,4,22,Old Friends,,Transcript appears truncated at the end during Ann Madsen's testimony.,Y,Y,Y,"Harry Renkmeyer is found dead, initially appearing to be pushed into traffic by a homeless man named Rudy. Investigation reveals Renkmeyer was shot before being run over. Ann Madsen, CEO of Nature's Way baby food company, is coerced into testifying against her business partner Steven Green after initially lying under oath out of fear of the Russian mob (Gruskov family). Rudy is arrested but later cleared when autopsy shows shooting, not traffic accident. Ann Madsen commits perjury under threat, then is arrested for it to force her cooperation."
lo_s05_e01,5,1,Second Opinion,,"Transcript appears complete through courtroom testimony. Episode centers on Dr. Nancy Haas, a non-MD scientist offering alternative cancer treatment with apricot seeds, accused of murdering Ann Bennett by convincing her to forgo surgery.",N,N,N,"Ann Bennett dies of liver cancer after following Dr. Nancy Haas's metabolic therapy instead of having surgery. Investigation reveals Haas charged patients $75,000 for treatments using apricot seeds (containing trace cyanide/amygdaline). No innocent suspects are publicly accused; investigation focuses on Haas from early on. Nicholas Bennett is briefly considered but never publicly accused or confronted as a suspect. The case proceeds as a murder prosecution against Haas for fraudulently convincing patients to avoid life-saving surgery."
lo_s05_e02,5,2,Coma,,Transcript appears truncated at end during Detective Logan's dialogue,Y,Y,Y,"Sandra Dobson is shot and left in a coma. Police initially suspect a car radio thief named Jerome who was in the area. Jerome is arrested for radio thefts but denies shooting anyone. The investigation shifts to Michael Dobson, Sandra's husband, who is eventually arrested and tried for attempted murder/murder. The transcript appears to cut off during trial proceedings, so the final resolution is unclear."
lo_s05_e03,5,3,Blue Bamboo,,Transcript appears complete through trial testimony but cuts off mid-sentence during final discussion.,Y,Y,N,"Japanese businessman Shiunro Hayashi is murdered in his hotel room. Investigation initially focuses on hotel employee Danny Zabel and his brother-in-law Charles Kett (who robbed another hotel guest previously). Zabel is arrested as accomplice but later cleared when Kett has alibi. Singer Suzy is questioned after being with Hayashi but cleared when forensics show different woman's hair. Investigation ultimately leads to Martha Bowen, who killed Hayashi after he forced her into prostitution in Japan a year earlier. Two innocent people publicly accused: Danny Zabel and Suzy."
lo_s05_e04,5,4,Family Values,,Transcript appears truncated at the end during Maggie's testimony,Y,Y,Y,"Laura Madsen is found dead in the East River. Victor Conner (her ex-husband) is initially suspected due to a history of domestic violence and a recent argument over custody papers. He is publicly investigated but later cleared when the timeline and evidence point to Steve Martell (Laura's current husband) and potentially Maggie Conner (Laura's daughter). The transcript ends mid-testimony, making full analysis incomplete."
lo_s05_e05,5,5,White Rabbit,,Transcript appears truncated mid-testimony. Analysis may be incomplete.,Y,Y,Y,"Episode concerns a 1971 armed robbery of Nucon Technologies where Officer Vincent Perella was killed. In present day (1994), the stolen money and murder weapon are recovered from a safe deposit box. Investigation reveals Susan Forrest (living under alias Rita Levitan) was involved. However, Henry Maybrook (security guard) and his cousin Eddie were falsely accused of the vault burglary before the real perpetrators were identified. Professor William Goodwin was also accused but appears to have actually aided Susan Forrest (partial involvement). Transcript cuts off during Margaret Pauley's testimony, making complete analysis difficult."
lo_s05_e06,5,6,Competence,,"Transcript appears complete through final courtroom resolution. Lieutenant Van Buren shoots James Gordon (mentally retarded, unarmed 14-year-old) during attempted ATM robbery. Zack Rowland (accomplice with gun) initially accused, later charged with felony murder.",Y,Y,N,"Lt. Van Buren shoots unarmed, mentally retarded 14-year-old James Gordon during ATM encounter, believing accomplice Zack Rowland had a gun. James dies; Van Buren faces investigation and grand jury. No-billed by grand jury prioritizing public safety over scrutiny of police conduct. Zack charged with felony murder after gun recovered. Episode explores competence to commit crime, prosecutorial withholding of evidence (bracelet motive), and racial dynamics in justice system. James Gordon qualifies as innocent person harmed by false accusation of attempted robbery—he lacked mental capacity to form criminal intent and was buying girlfriend's bracelet with legitimately earned money."
lo_s05_e07,5,7,Precious,,"Transcript appears truncated at the end during plea discussion. Episode centers on Eileen and Martin Willach, whose infant Emily dies. Investigation reveals two prior infant deaths (Daniel, Caroline) and an incident with foster child Gary.",Y,Y,Y,"Baby Emily Willach is reported kidnapped from Central Park but is found dead in a cooler by the Hudson River. Investigation reveals Martin Willach faked the kidnapping to cover up the death. Focus shifts to mother Eileen Willach, suspected of smothering Emily and potentially two previous biological children plus harming a foster child. However, a bald man with a camera was witnessed in the park that morning and became an early suspect before being cleared. The case ends in a hung jury (9-3 for conviction) with prosecution seeking retrial."
lo_s05_e08,5,8,Virtue,,Transcript appears complete through defense opening; episode focuses on sexual coercion/quid pro quo harassment rather than traditional rape case,Y,Y,N,"Lyssa Wesley dies in car crash after alleged rape by Councilman Spencer Talbert. Investigation reveals pattern of sexual coercion at his former law firm. Sarah Maslin initially claims rape but recants, revealing quid pro quo sexual harassment (partnership in exchange for sex). Prosecution pivots to larceny by extortion theory. Episode centers on distinguishing forcible rape from coerced consent under threat of career destruction."
lo_s05_e09,5,9,Scoundrels,,Transcript appears complete through trial testimony,Y,Y,N,"Lawyer Arthur Kopinsky is murdered. Initial investigation focuses on Carl Piselli, who was publicly accused of the murder and cleared via alibi. John Curren, a Tappan victim, is then arrested and tried. The case reveals Kopinsky was running a scam on Tappan victims while also blackmailing Tappan over hidden money. Tappan manipulated Curren into killing Kopinsky. Both Piselli and initially John Curren qualify as falsely accused persons who suffered public exposure and consequences."
lo_s05_e10,5,10,House Counsel,,Transcript appears complete through courtroom hearing scene,N,N,N,"David Lempert, a city Parks Department accountant, is murdered after serving as a juror in mob boss Vincent Dosso's trial. Investigation reveals Lempert was bribed to hang the jury. Defense attorney Paul Kopell helped facilitate jury tampering by bribing a court clerk to identify vulnerable jurors. Lempert was later killed, likely because he became a liability. The episode focuses on prosecuting Dosso and Kopell for conspiracy to murder. No falsely accused innocent persons are identified in the transcript - Furini and Dosso appear to be the actual perpetrators, and Kopell facilitated the crime. Lempert was a victim who accepted a bribe but was not accused of a crime he didn't commit."
lo_s05_e11,5,11,Guardian,,Transcript appears truncated during Matthew Blanchard's cross-examination testimony.,Y,Y,Y,"Katie Blanchard, a wealthy heroin addict, is found dead behind a dumpster. Her brother Matthew and family adviser Jerome Kamen are accused at different points. Matthew injected Katie with heroin and called Kamen when she started convulsing. Kamen took her from the apartment but left her to die instead of seeking medical help. Matthew was initially suspected and later testified against Kamen. The transcript cuts off during cross-examination, making final disposition unclear."
lo_s05_e12,5,12,Progeny,,Full transcript provided,Y,Y,N,"Dr. Eileen Reed, an abortion provider, is murdered. Nancy Gunther infiltrates the clinic under a false name to gather information. Randall Jenkins shoots Dr. Reed for revenge after his wife had an abortion. Drew Seeley, a defrocked priest and anti-abortion activist, confesses to orchestrating the murder to put abortion on trial but ultimately admits he couldn't pull the trigger himself. Nancy Gunther's infiltration and information gathering directly enabled the murder, and she was publicly exposed during the investigation and trial. Dr. Simon Reed (the victim's husband) was publicly questioned and suffered emotional harm related to the accusation that he wanted his wife to stop performing abortions (though this is a stretch as he was more a witness than accused)."
lo_s05_e13,5,13,Rage,,Transcript appears complete through courtroom testimony but cuts off mid-sentence during Bryant's cross-examination of Cooke.,N,N,Y,"Wallace Holbrook, a Wall Street executive, is murdered in his home. Initially staged as a suicide, investigation reveals his neck was broken and the shotgun wound was postmortem. Police focus on Bud Greer, Holbrook's top trader, who made $7 million but was actually running phantom trades. Greer is arrested based on fingerprints at the scene and motive (Holbrook discovered the fraud). Defense claims racial bias and introduces 'black rage' defense. No innocent suspects are publicly accused or harmed - Greer appears to be the actual perpetrator throughout the investigation."
lo_s05_e14,5,14,Performance,,Transcript appears complete through trial and appeal scenes,N,N,N,"Two teenage boys, Shane Sutter and Kyle Winters, are arrested and convicted for raping 16-year-old Corey Russell on videotape. The case involves a points-for-sex competition among a clique called the Mack Rangers. The convictions are overturned on appeal due to excluded evidence about the Rangers, leading to a conspiracy case strategy. No individuals are proven or strongly implied innocent after being publicly accused in this episode."
lo_s05_e15,5,15,Seed,,Transcript appears complete through court proceedings. Episode focuses on fertility fraud investigation.,N,N,N,"Episode centers on Dr. Jordan Gilbert, a fertility doctor who commits fraud by using his own sperm for artificial insemination procedures while claiming to use anonymous donors, and by lying to patients about pregnancies. Susan Parker, one of his patients, has a violent breakdown at her husband's workplace (believing he caused her miscarriage), resulting in her death by security guard. Investigation reveals Gilbert's extensive fraud scheme affecting dozens of patients. While Gilbert's actions harm many people through deception, no one is falsely accused of a crime they didn't commit. Brandon Parker is initially suspected of spousal abuse causing the miscarriage, but evidence supports his account of self-defense, and Susan Parker was never actually pregnant (Gilbert's lie). The episode is about medical/financial fraud, not false criminal accusations with public exposure."
lo_s05_e16,5,16,Wannabe,,Transcript appears complete through most of final scene but cuts off mid-sentence during negotiation about Stewart Barclay's testimony deal.,Y,Y,Y,"William Prescott, an accountant, is shot and killed. Initially suspected is union baggage handler Harrigan over job cuts, then Jimmy Rose (who was acquitted of a prior murder with the same gun). The gun is traced to Colin Harrigan (Tom's son), a expelled prep school student who had threatened another student. Colin is arrested based on gunpowder residue on gloves, but the case is dismissed when the search warrant is suppressed. Tom Harrigan (the father) then confesses to protect his son, but his allocution contains factual errors proving he didn't do it. The actual shooter appears to be Colin Harrigan, with conspiracy involvement by wealthy student Stewart Barclay, whose father (school board chairman/legal counsel) tries to negotiate immunity for his son's testimony."
lo_s05_e17,5,17,Act of God,,Transcript appears truncated mid-sentence during suppression hearing argument.,Y,Y,Y,"A building explosion kills 12-year-old Robbie Cuneo. Police initially suspect general contractor Buzz Palley due to financial motive and lies, then arrest him. Later evidence shifts focus to Hank Chappel (husband of Palley's girlfriend Chris), who had access to explosives and fired warning shots at Palley. Chappel is convicted. Post-conviction, police realize Palley never returned to the scene the night of the bombing, suggesting he set it. New wiretap evidence leads to arrests of both Palley and Chris Chappel, with defense arguing Hank Chappel was wrongfully convicted. Transcript ends mid-suppression hearing."
lo_s05_e18,5,18,Privileged,,Transcript appears truncated mid-testimony (Mrs. Bartlett's account). Missing conclusion of trial/verdict.,N,N,Y,"David and Eileen Lerner are murdered in their bed in a former brownstone owned by divorce attorney Warren Bartlett. Steven Smith, Bartlett's foster son, killed them during an alcoholic blackout, believing he was in his old bedroom attacking his abusive foster parents. Under hypnosis, Smith reveals childhood abuse by foster mother Leah Bartlett. Defense argues justifiable homicide/self-defense based on repressed trauma. No false suspects are identified—investigation correctly identifies Smith as perpetrator from the start via fingerprint evidence. Transcript ends mid-trial during Mrs. Bartlett's testimony about her abuse of Steven."
lo_s05_e19,5,19,Cruel and Unusual,,Transcript appears complete through courtroom scenes. Focus is on Dr. Colter's aversion therapy clinic for autistic children and Kevin Jeffries' death.,Y,Y,N,"Kevin Jeffries, an autistic teen, dies in police custody from a cerebral thrombosis caused by repeated trauma to his carotid artery. Initial suspect is Detective Mike Logan for restraint during custody. Investigation reveals Kevin was a patient at Dr. Colter's behavioral clinic where aversion therapy including electric shocks and a 'buzzbox helmet' was used. Night worker Joe Garvey is briefly arrested for assault before Dr. Colter becomes the primary suspect for murder. Episode explores consent, medical ethics, and parents' desperation for treatment of severely autistic children."
lo_s05_e20,5,20,Bad Faith,,Transcript appears truncated at end during Family Services worker testimony,N,N,Y,"Detective Billy Morino is found dead in Riverside Park from apparent suicide staged as murder. Investigation reveals he was molested as a child by Father Joe Krolinsky and had recently confronted Krolinsky about past abuse. Morino appears to have accepted $50,000 from Krolinsky before dying by suicide. Defense claims Morino was Krolinsky's accomplice in procuring other children. Detective Mike Logan testifies under subpoena that young Morino once tried to recruit him for Krolinsky. Episode focuses on prosecuting Krolinsky for decades of abuse using conspiracy theory with church as unindicted co-conspirator. No one is falsely accused then cleared - the victim (Morino) is dead, and the perpetrator (Krolinsky) is actually guilty of the abuse."
lo_s05_e21,5,21,Purple Heart,,Transcript appears complete through courtroom proceedings but cuts off mid-sentence at end,Y,Y,N,"Cab driver Danny Johnson is murdered. Initially appears to be a robbery, but detectives discover he was carrying $15,000 to repay a loan shark. Charles Kovac, a plumber/junkie, is identified as the killer but is then found murdered. Police theory: Johnson's wife Denise hired Kovac to kill her husband, then killed Kovac to silence him. Evidence includes a phone call from Kovac to Denise and the murder weapon traced to her former workplace. During trial, prosecutors also discover evidence she had previously hired another man (Lattimer) to kill her husband two months earlier, which failed. Multiple people are falsely suspected during the investigation."
lo_s05_e22,5,22,Switch,,Transcript appears complete through trial/hearing scenes,Y,Y,N,"Dr. Lillian Hampton, a psychiatrist at a free clinic, is murdered. Initially, detectives suspect her ex-husband, then investigate patients Edward Brennig and Paul White (both cleared via alibis). Megan Nelson, Hampton's patient with Multiple Personality Disorder, becomes a suspect after one of her 'alters' (Bobby) confesses. However, Bobby's confession contains a factual error proving he wasn't present. The real killer is Megan's father Frank Nelson, who killed Hampton after she helped Megan recover a repressed memory of Frank murdering Megan's mother 18 years earlier. Frank is publicly arrested. Megan is arrested for conspiracy but charges are dismissed without prejudice. Bobby's false confession is an attempt to protect Megan from having to testify against her father."
lo_s05_e23,5,23,Pride,,Transcript appears complete through trial testimony.,Y,Y,N,"Gay City Councilman Richard Durban is shot and killed. Initial investigation focuses on his live-in boyfriend Joe Gibb, a prostitute/pimp. Police threaten to expose married city employee Leo Barnett's secret gay life to coerce testimony about Gibb's alibi. Gibb is publicly accused and arrested, his apartment searched, stolen property recovered. Later evidence shifts to Councilman Kevin Crossley, who is ultimately tried for the murder. Both Gibb and Barnett suffer public exposure as false suspects."
lo_s06_e01,6,1,Bitter Fruit,,Transcript appears complete through investigation and trial.,Y,Y,N,"12-year-old Jody Gaines is found dead. Investigation focuses on Nick Capetti, a glazier with a criminal record, after evidence connects him to the crime scene. Karen Gaines (the victim's mother) shoots Capetti in court before trial. Later revealed that Karen hired Capetti to kidnap Jody to terrorize her ex-husband; the girl's death was unintended. The bus driver was initially suspected but cleared."
lo_s06_e02,6,2,Rebels,,Transcript appears complete through final dialogue line but cuts off mid-sentence during final interrogation of Caridad Montero.,Y,Y,Y,"NYU student Tommy Bell is stabbed to death at Strokers bar. Initial investigation focuses on girlfriend Caridad Montero's ex-boyfriend Igor (Daniel Smith) as prime suspect based on Caridad's testimony. However, Milton 'Stiletto' Stillman confesses to the murder before grand jury. Evidence emerges that Caridad may have set Tommy up by giving him a Yankee Rebel jacket to wear, knowing it would provoke violence. Igor was publicly accused and arrested but appears innocent of the murder itself. Stiletto's confession may be coerced by gang pressure. Transcript ends mid-interrogation of Caridad, preventing full resolution certainty."
lo_s06_e03,6,3,Savages,,Transcript appears complete through trial and sentencing hearing arguments.,Y,Y,N,"Undercover cop Bobby Croft is murdered. Initially, detectives suspect drug dealer Ted Quinlan, who had alibis and was not arrested. The case shifts to accountant Paul Sandig, who was laundering money for Quinlan and killed Croft to prevent testimony. Quinlan was publicly accused, arrested for money laundering, and later given immunity to testify against Sandig. Episode becomes first test of NY's new death penalty statute."
lo_s06_e04,6,4,Jeopardy,,Transcript appears complete through trial dismissal and investigation of judicial corruption.,Y,Y,N,"Three people are murdered at a computer magazine office. Peter Nicodos is arrested for killing his brother Eddie and two coworkers, motivated by Eddie's role in exposing Peter's affair (leading to blackmail). Judge Hynes systematically excludes key evidence and dismisses the case mid-trial. Investigation reveals Hynes received a $600k preferential loan (saving $300k in interest) from the Nicodos family bank, constituting a bribe. Multiple innocent people were publicly accused during the investigation before Peter was identified as the killer."
lo_s06_e05,6,5,Hot Pursuit,,Transcript appears complete through trial phase; ends mid-sentence during plea negotiation,N,N,N,"Leslie Harlan claims she was kidnapped by Leon Trapp and forced to participate in robberies/murders. Investigation reveals she may have been a willing participant. She knew the Vivant Room bartender's nickname and likely suggested it as a target. No innocent persons were falsely accused with public exposure or material harm in this episode - the investigation correctly identified the perpetrators (Leon Trapp and Leslie Harlan) from the beginning. The legal question centers on whether Harlan acted under duress or was a voluntary participant, not whether she was wrongly accused."
lo_s06_e06,6,6,Paranoia,,Transcript appears complete through courtroom testimony,Y,Y,N,"College student Alison Reich is murdered in her dorm room. Police initially suspect Merril Grupp, a student who wrote violent sexual fantasies about a character matching Alison's description on an online bulletin board and had stolen her underwear. He is publicly interrogated and accused. Later, evidence points to Alison's roommate Megan Maslin as the actual killer. Grupp was innocent of murder but guilty of theft and cyberstalking behavior."
lo_s06_e07,6,7,Humiliation,,Transcript appears complete through trial and post-conviction investigation revealing Julia Danforth may have framed her husband.,Y,Y,N,"Prostitute Gwyn George is murdered. Dr. Mark Danforth admits using her services and is arrested, tried, and convicted of her murder based on circumstantial evidence including $2000 withdrawals matching money found on victim, registered .22 Colt (murder weapon type), and his wife Julia's suspicious testimony. Post-conviction, Claire discovers Julia may have known about Mark's activities all along and possibly killed Gwyn herself to frame Mark, including making anonymous tip calls and deliberately fumbling testimony to ensure conviction."
lo_s06_e08,6,8,Angel,,Transcript shows Leah Coleman accused multiple individuals during investigation before confessing to killing her own baby.,Y,Y,N,"Leah Coleman reports her baby Rachel kidnapped from church. She initially describes seeing a young Puerto Rican man in the back row. Police pursue this lead, question a suspect (Ricardo with 12 earrings), and conduct a lineup. Later, during a walk-through with Detective Curtis, Leah confesses she smothered Rachel and cremated her in the building's furnace. The episode centers on Leah's trial, where she's convicted of murder despite an insanity defense. The false suspects were exposed publicly during the investigation and press conference."
lo_s06_e09,6,9,Blood Libel,,Transcript appears complete through courtroom testimony phase. Defense attorney Roy Payne attempting to argue conspiracy theory that Jewish investigators framed Matt Hastings to protect Richard Kovax.,Y,Y,N,"Art teacher Sarah Aronson is murdered at Advanced Studies high school. Investigation initially focuses on Richard Kovax (math teacher selling grades) and Eddie Camarillo (student), both later cleared. Matt Hastings, a high-achieving student involved in grade-buying scheme, is ultimately charged. Kovax faced accusations of both financial corruption and potential involvement in murder; Camarillo was accused of murder conspiracy. Both experienced public exposure and consequences before being cleared or having their roles clarified."
lo_s06_e10,6,10,Remand,,Transcript appears complete through trial testimony,Y,Y,N,"Sal Munoz served 30 years for the 1965 rape and stabbing of Cookie Costello before his conviction was set aside due to his attorney's conflict of interest. A new trial reveals that Munoz was questioned for 6 hours without Miranda warnings (before Miranda was decided), picked from a questionable lineup, and may have been beaten. While Munoz is ultimately retried, the episode focuses heavily on the flawed original investigation and prosecution. Cookie Costello was publicly exposed during both the original investigation and the new trial, with her pregnancy, gambling activities, and sexual history revealed in court."
lo_s06_e11,6,11,Corpus Delicti,,Transcript appears complete through trial testimony but cuts off during cross-examination of Mrs. Grayson,N,N,Y,"Episode centers on the murder of Ruth Thomas by Lyle Christopher, a con man who killed her to silence her threats of exposure. Christopher also ran an insurance fraud scheme killing horses, using hired killer Tibor Nichols. Richard Brandson hired Nichols to kill his daughter's underperforming show horse Mr. Wickets. No persons shown to be falsely accused then cleared - Christopher appears guilty throughout, Brandson confesses/cooperates, Nichols confesses. The case revolves around proving the murder without a body."
lo_s06_e12,6,12,Trophy,,Transcript appears truncated mid-testimony. Diana Hawthorne's direct testimony cuts off.,Y,Y,Y,"Serial killer Simon Brooks murders young black boys, leaving notes saying 'They must be destroyed.' Police arrest Andrew Dillard, who is convicted and serves 5 years. Brooks continues killing after his mother dies. When Brooks confesses to all murders, it's revealed ADA Diana Hawthorne concealed witness statement pointing to Brooks and coached handwriting expert to strengthen case against Dillard. Dillard sues and settles for $3M. Hawthorne is charged with criminal facilitation for enabling Brooks' later murders. Episode explores prosecutorial misconduct and McCoy's role as Hawthorne's supervisor/lover during original case."
lo_s06_e13,6,13,Charm City,,Transcript appears truncated during McCoy's closing argument,N,N,Y,"A gas bomb kills 20 people on a subway. Baltimore detectives Pembleton and Bayliss assist NYPD in connecting the case to a similar Baltimore church bombing from 5 years earlier. Brian Egan, a white man with access to metallic arsenic, is arrested based on eyewitness ID and forensic evidence. Pembleton's interrogation violates constitutional rights, leading to exclusion of Egan's statement. The defense argues the prosecution is racially motivated against a white defendant. The trial proceeds with circumstantial evidence. Transcript ends mid-closing argument, verdict unknown."
lo_s06_e14,6,14,Custody,,Transcript appears complete through opening statements and testimony. Dialog cuts off mid-conversation between Claire and Paul about racism.,Y,Y,N,"Social worker Lawrence Bello is murdered in a playground. Detectives discover he was running a foster care fraud scheme. Investigation reveals Jenny Mays, a former crack addict whose parental rights were terminated, hired her boyfriend Michael Walters to get her son's address from Bello, leading to Bello's death. Mays then kidnapped her son from his adoptive family (the Corbins). Defense argues institutional racism in child welfare system justified her actions."
lo_s06_e15,6,15,Encore,,Transcript appears truncated at end during Dobson's final statement,Y,Y,Y,"Emily Dobson is murdered in Central Park. Evidence points to Luis Cruz, a former enforcer for mobster Joey Giabone. Police arrest Michael Dobson (Emily's husband) for hiring Cruz, believing it parallels his first wife's murder. Jessica Nash (Dobson's girlfriend/employee) and Antonio (busboy) testify about their affair, establishing motive. Cruz is captured and claims Dobson hired him for $10,000, but the money has Joey Giabone's fingerprints. Jessica Nash initially believed Dobson was getting a divorce (never confirmed). The transcript ends mid-sentence with Dobson apparently about to reveal Giabone threatened his children. Unclear if Dobson actually hired Cruz or if Giabone was involved independently. Multiple people were publicly accused/exposed during investigation."
lo_s06_e16,6,16,Savior,,Transcript appears truncated at the end during Jack's statement about Chester Manning.,Y,Y,Y,"Joyce Weber and her son Billy are murdered; daughter Jenna survives. Husband Ron Weber is accused based on financial motive (lost job, insurance money, debt) and missing alibi during blackout drinking. Trial proceeds with expert testimony on 'family annihilators.' Multiple suspects emerge: Ron Weber (husband), Chester Manning (Jenna's ex-boyfriend with criminal record), and Sergei Yentakov (mobster Joyce was helping OCCB sting). Transcript ends mid-trial, outcome unclear. Ron Weber appears to qualify as falsely accused if innocent, as does Chester Manning who was questioned as suspect."
lo_s06_e17,6,17,Deceit,,Transcript appears complete through investigation/pre-trial phase. Episode centers on murder of gay lawyer Elliot Wells by unclear perpetrator - focus shifts from environmental activist to drag queen ex-lover Tony to closeted senior partner Jerold Dixon to potentially Dixon's wife Sela.,Y,Y,N,"Lawyer Elliot Wells is murdered. Investigation cycles through multiple suspects: environmental activist Larry Philbert (cleared via alibi), Wells' drag queen ex-lover Tony Conneca (used as police informant in sting operation), and closeted senior partner Jerold Dixon (arrested twice, wife provides alibi). Multiple people publicly accused/exposed before true perpetrator identified. Episode explores themes of closeted homosexuality, workplace discrimination, and marital deception in 1990s legal world."
lo_s06_e18,6,18,Atonement,,Transcript appears complete through trial testimony but cuts off mid-sentence at the end during discussion of Frederick Scannell.,Y,Y,Y,"Model Sharon Lasko is murdered. Multiple men are investigated: photographer Rick Kasteler (who had sex with her but didn't kill her), basketball player Ken Soames (argued with her but alibi holds), drug dealer Frederick Scannell (questioned but unclear from truncated transcript), and limo driver Johnny Stivers (ultimately arrested and tried). Kasteler is publicly accused and his marriage/career are threatened before being cleared. The transcript cuts off before revealing final verdict or whether Scannell was further pursued."
lo_s06_e19,6,19,Slave,,Transcript appears truncated mid-sentence at end.,Y,Y,Y,"Mr. Merrick is initially suspected of murdering his wife Carol in their bedroom while drunk. Police use coercive interrogation tactics implying he committed the crime during a blackout. Later evidence (ballistics showing the shot came from 50-100 yards away, not close range) proves the bullet came from outside, from a rooftop across the street. The actual shooter was 13-year-old Lonnie Rickman, who was aiming at Clayton Doyle (a failed hit ordered by drug dealer Ross Morales) but accidentally killed Carol Merrick. Mr. Merrick was publicly accused, interrogated under coercion, and subjected to powder residue testing before being cleared. Transcript ends abruptly during investigation of Morales."
lo_s06_e20,6,20,Girlfriends,,Transcript appears complete through mid-trial testimony where Shelly Taggert is about to accuse her father of the murder.,Y,Y,N,"College senior Bridget Kaylin is found murdered in a university library. Initially suspected to be the work of a campus rapist, investigation reveals she was involved in prostitution, along with friends including Shelly Taggert who organized the operation (partly involving her father's shoe business clients). Multiple innocent people are investigated and publicly exposed during the prostitution/murder investigation. Shelly Taggert is eventually charged with murder, flees to Europe, returns, and at trial attempts to blame her father Barry Taggert."
lo_s06_e21,6,21,Pro Se,,Transcript appears complete through testimony but cuts off mid-sentence during Patricia Smith's testimony about Jimmy's apartment in Hoboken.,Y,Y,N,"A schizophrenic man (James Smith) murders four people at a vintage clothing store. Early in the investigation, two black teenagers (Jerome and Liana) are accused based on a confrontation at the store shortly before the murders. Jerome was threatened with criminal charges and both were subjected to interrogation before being cleared when the real perpetrator (Smith) was identified. The episode focuses primarily on Smith's trial and his prior stalking case plea-bargained by ADA Kincaid."
